policy,k,repetitions,events,prediction_recall,mean_ready_cache_ttft_ms,mean_service_request_ms,mean_policy_ms,mean_speculative_population_ms,mean_exposed_population_ms,mean_end_to_end_ttft_ms,mean_end_to_end_request_ms,mean_completed_prefetch_mib,shadow_residency_rate,current_prefetch_hit_rate,mean_lmcache_retrieved_tokens,mean_prefetch_evictions,online_update_rate
adaptive_offline_global,10,2,1200,0.9416666666666667,47.92109310833334,48.02022538833334,4.896388132499999,651.202696385,651.202696385,704.0201776258334,704.1193099058333,115.37645833333333,0.95,0.7516666666666667,291.33416666666665,8.326666666666666,0.0
adaptive_online_warm,10,2,1200,0.9333333333333333,48.071674548333334,48.17250618916666,4.972473783333333,652.3999868550001,652.3999868550001,705.4441351866666,705.5449668275,115.400625,0.9433333333333334,0.7466666666666667,283.74583333333334,8.308333333333334,0.051666666666666666
cosine,10,2,1200,0.53,54.67042438083333,54.774813181666666,0.25014218499999996,676.4554388516667,676.4554388516667,731.3760054175,731.4803942183333,116.89395833333333,0.57,0.43833333333333335,173.53166666666667,8.798333333333334,0.0
graph_fixed,10,2,1200,0.7616666666666667,51.42257828333333,51.52279148666666,5.074514469166666,666.5393332824999,666.5393332824999,723.0364260349999,723.1366392383334,115.82223958333333,0.7816666666666666,0.63,246.98416666666665,8.661666666666667,0.0
no_prefetch,10,2,1200,0.0,56.027816992500014,56.133111498333335,0.006713418333333333,0.0,0.0,56.03453041083332,56.13982491666667,0.0,0.285,0.0,97.81166666666667,0.0,0.0
