policy,k,repetition,query_type,events,mean_prediction_hit,median_prediction_hit,mean_target_rank,median_target_rank,mean_candidate_universe_size,median_candidate_universe_size,mean_prompt_tokens,median_prompt_tokens,mean_capacity_bytes,median_capacity_bytes,mean_ready_cache_ttft_ms,median_ready_cache_ttft_ms,mean_request_e2e_ms,median_request_e2e_ms,mean_policy_ms,median_policy_ms,mean_current_access_ttft_ms,median_current_access_ttft_ms,mean_current_access_request_ms,median_current_access_request_ms,mean_speculative_population_ms,median_speculative_population_ms,mean_available_overlap_ms,median_available_overlap_ms,mean_exposed_population_ms,median_exposed_population_ms,mean_end_to_end_ttft_ms,median_end_to_end_ttft_ms,mean_end_to_end_request_ms,median_end_to_end_request_ms,mean_prefetch_bytes_scheduled,median_prefetch_bytes_scheduled,mean_prefetch_bytes_completed,median_prefetch_bytes_completed,mean_prefetch_completion_fraction,median_prefetch_completion_fraction,mean_shadow_residency_before_prefetch,median_shadow_residency_before_prefetch,mean_shadow_residency_hit,median_shadow_residency_hit,mean_shadow_current_prefetch_hit,median_shadow_current_prefetch_hit,mean_shadow_cache_bytes_after,median_shadow_cache_bytes_after,mean_lmcache_retrieved_tokens_delta,median_lmcache_retrieved_tokens_delta,mean_lmcache_stored_tokens_delta,median_lmcache_stored_tokens_delta,mean_vllm_prefix_cache_hit_tokens_delta,median_vllm_prefix_cache_hit_tokens_delta,mean_population_request_count,median_population_request_count,mean_population_prompt_tokens,median_population_prompt_tokens,mean_predicted_count,median_predicted_count,mean_completed_prefetch_count,median_completed_prefetch_count,mean_current_insert_eviction_count,median_current_insert_eviction_count,mean_prefetch_eviction_count,median_prefetch_eviction_count,mean_target_insert_eviction_count,median_target_insert_eviction_count,mean_online_updated,median_online_updated,mean_retry_count,median_retry_count,mean_prefetch_completed_before_demand,median_prefetch_completed_before_demand,mean_request_success,median_request_success
cosine,10,0,structural,150,0.49333333333333335,0.0,4.162162162162162,4.0,917.0,917.0,374.6933333333333,385.0,536870912.0,536870912.0,56.136068353333336,62.509061,56.23703796666666,62.604326,0.2336132866666667,0.206722,59.766205506666665,62.4680495,59.8685522,62.55998,679.2064647,690.3607025,0.0,0.0,679.2064647,690.3607025,735.5761463399999,753.236355,735.6771159533333,753.3397795000001,122461661.86666666,123961344.0,122461661.86666666,123961344.0,1.0,1.0,0.13333333333333333,0.0,0.54,1.0,0.4066666666666667,0.0,528862631.25333333,530399232.0,139.62666666666667,0.0,168.53333333333333,0.0,139.56666666666666,0.0,10.0,10.0,3747.233333333333,3793.0,10.0,10.0,10.0,10.0,0.8733333333333333,1.0,8.773333333333333,10.0,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,0,all,600,0.0,0.0,,,0.0,0.0,372.8883333333333,385.0,536870912.0,536870912.0,55.75267575333334,60.3608,55.859725018333336,60.4588065,0.007187093333333333,0.0057285,57.47640484333334,61.578324,57.576457838333326,61.7157945,0.0,0.0,0.0,0.0,0.0,0.0,55.75986284666667,60.367266,55.866912111666664,60.4644395,0.0,0.0,0.0,0.0,1.0,1.0,0.285,0.0,0.285,0.0,0.0,0.0,519022673.92,527433728.0,97.21166666666667,0.0,247.505,384.0,95.38166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7016666666666667,1.0,0.0,0.0,0.66,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,0,multi-hop,300,0.0,0.0,,,0.0,0.0,375.32,385.0,536870912.0,536870912.0,56.72250151666667,60.584423,56.830318266666666,60.667395,0.007915626666666668,0.005698,57.00451166666667,60.89846,57.106150969999995,60.9896025,0.0,0.0,0.0,0.0,0.0,0.0,56.730417143333334,60.589909000000006,56.83823389333333,60.672881000000004,0.0,0.0,0.0,0.0,1.0,1.0,0.2866666666666667,0.0,0.2866666666666667,0.0,0.0,0.0,522851778.56,527368192.0,90.4,0.0,246.77333333333334,384.0,90.36333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6966666666666667,1.0,0.0,0.0,0.67,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,0,semantic,150,0.0,0.0,,,0.0,0.0,366.22,385.0,536870912.0,536870912.0,52.79346225999999,56.098295,52.89979958,56.1849555,0.005776813333333334,0.005752,57.467664713333335,60.754084500000005,57.569386933333334,60.8352485,0.0,0.0,0.0,0.0,0.0,0.0,52.79923907333334,56.104197,52.90557639333333,56.1908575,0.0,0.0,0.0,0.0,1.0,1.0,0.3466666666666667,0.0,0.3466666666666667,0.0,0.0,0.0,512384914.7733333,526893056.0,132.1,0.0,227.14,328.0,124.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,1.0,0.0,0.0,0.58,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
no_prefetch,10,0,structural,150,0.0,0.0,,,0.0,0.0,374.6933333333333,385.0,536870912.0,536870912.0,56.77223772,61.916006,56.87846396,62.029488,0.007140306666666666,0.0057735,58.428931326666664,62.2517435,58.52414248000001,62.355273499999996,0.0,0.0,0.0,0.0,0.0,0.0,56.77937802666667,61.922555,56.885604266666654,62.03603699999999,0.0,0.0,0.0,0.0,1.0,1.0,0.22,0.0,0.22,0.0,0.0,0.0,518002223.7866667,528351232.0,75.94666666666667,0.0,269.3333333333333,384.0,75.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,1.0,0.0,0.0,0.72,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,1,all,600,0.9333333333333333,1.0,3.930357142857143,4.0,284.77666666666664,281.0,372.8883333333333,385.0,536870912.0,536870912.0,47.31149029833333,45.027264,47.40942121166667,45.135612,4.936424775000001,4.3858365,57.30021539166667,58.7962395,57.39792217166667,58.8870395,652.7129415633334,676.3034835000001,0.0,0.0,652.7129415633334,676.3034835000001,704.9608566366666,724.9472774999999,705.05878755,725.059865,121006325.76,121602048.0,121006325.76,121602048.0,1.0,1.0,0.19833333333333333,0.0,0.9433333333333334,1.0,0.7466666666666667,1.0,529336784.2133333,530530304.0,287.4166666666667,384.0,86.16333333333333,0.0,277.9216666666667,384.0,10.0,10.0,3702.82,3721.0,10.0,10.0,10.0,10.0,0.8116666666666666,1.0,8.308333333333334,10.0,0.055,0.0,0.051666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,1,multi-hop,300,0.9366666666666666,1.0,3.619217081850534,3.0,287.12666666666667,283.0,375.32,385.0,536870912.0,536870912.0,47.35878501333334,45.646912,47.45728277333333,45.7283075,5.064841303333333,4.4458675,57.566853873333336,59.127801500000004,57.66342465666667,59.220662,653.8274026033333,673.9778,0.0,0.0,653.8274026033333,673.9778,706.25102892,724.7278415000001,706.34952668,724.8243595,121163066.02666667,121995264.0,121163066.02666667,121995264.0,1.0,1.0,0.21,0.0,0.95,1.0,0.74,1.0,529146292.9066667,530071552.0,303.79333333333335,384.0,94.88666666666667,0.0,284.87666666666667,384.0,10.0,10.0,3707.6033333333335,3733.0,10.0,10.0,10.0,10.0,0.8,1.0,8.373333333333333,10.0,0.04666666666666667,0.0,0.05333333333333334,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,1,semantic,150,0.9066666666666666,1.0,5.382352941176471,5.0,280.02666666666664,278.0,366.22,385.0,536870912.0,536870912.0,47.06462184666667,44.3776745,47.15613797333333,44.4568335,4.82552046,4.132346999999999,56.70326518666666,58.514669999999995,56.802055026666665,58.602862,649.94297112,682.0883329999999,0.0,0.0,649.94297112,682.0883329999999,701.8331134266666,725.8210905,701.9246295533333,725.90564,121054822.4,121602048.0,121054822.4,121602048.0,1.0,1.0,0.21333333333333335,0.0,0.9133333333333333,1.0,0.7066666666666667,1.0,530287165.44,531087360.0,266.4533333333333,384.0,75.2,0.0,266.37333333333333,384.0,10.0,10.0,3704.3,3721.0,10.0,10.0,10.0,10.0,0.7866666666666666,1.0,8.14,10.0,0.08666666666666667,0.0,0.06,0.0,0.0,0.0,1.0,1.0,1.0,1.0
adaptive_online_warm,10,1,structural,150,0.9533333333333334,1.0,3.160839160839161,3.0,284.82666666666665,287.0,374.6933333333333,385.0,536870912.0,536870912.0,47.463769320000004,43.6295155,47.56698132666667,43.7047855,4.7904960333333335,4.460789500000001,57.36388863333334,58.848463499999994,57.462784346666666,58.953049,653.2539899266667,674.1554685,0.0,0.0,653.2539899266667,674.1554685,705.50825528,724.6627834999999,705.6114672866667,724.746578,120644348.58666667,121585664.0,120644348.58666667,121585664.0,1.0,1.0,0.16,0.0,0.96,1.0,0.8,1.0,528767385.6,530366464.0,275.62666666666667,384.0,79.68,0.0,275.56,384.0,10.0,10.0,3691.7733333333335,3720.5,10.0,10.0,10.0,10.0,0.86,1.0,8.346666666666666,10.0,0.04,0.0,0.04,0.0,0.0,0.0,1.0,1.0,1.0,1.0
cosine,10,1,all,600,0.53,1.0,3.6037735849056602,3.0,917.0,917.0,372.8883333333333,385.0,536870912.0,536870912.0,54.14627157,56.759944000000004,54.24905834833333,56.8759275,0.25990420166666667,0.202819,60.085328848333326,61.6930055,60.1856144,61.8113315,676.0199644783333,686.966145,0.0,0.0,676.0199644783333,686.966145,730.42614025,742.358432,730.5289270283333,742.4526165,122572199.25333333,124026880.0,122572199.25333333,124026880.0,1.0,1.0,0.14333333333333334,0.0,0.57,1.0,0.43833333333333335,0.0,529378126.50666666,530710528.0,188.10666666666665,0.0,181.62666666666667,0.0,160.18,0.0,10.0,10.0,3750.6066666666666,3795.0,10.0,10.0,10.0,10.0,0.8783333333333333,1.0,8.798333333333334,10.0,0.44,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
