provider,top_m,n,n_expected,partial,cosine_em,cosine_f1,cosine_wins,graph_em,graph_f1,graph_wins,adaptive_em,adaptive_f1,adaptive_wins,ties
gemini,5,60,60,False,0.23333333333333334,0.36274333333333336,6,0.21666666666666667,0.34877166666666665,3,0.2,0.26216500000000004,1,50
gemini,8,60,60,False,0.23333333333333334,0.37061499999999997,5,0.23333333333333334,0.3328583333333333,4,0.2,0.295715,2,49
gemini,12,60,60,False,0.25,0.37623500000000004,7,0.23333333333333334,0.3323466666666667,4,0.18333333333333332,0.269535,0,49
gemini,20,60,60,False,0.23333333333333334,0.37434,10,0.21666666666666667,0.3324616666666666,5,0.2,0.30537,2,43
openai-groq,12,53,60,True,0.18867924528301888,0.37105283018867935,6,0.18867924528301888,0.3753773584905661,5,0.1320754716981132,0.32522264150943403,2,40
