policy,m,k,mode,lead_ms,control,metric,paired_events,independent_blocks,mean_delta,ci_low,ci_high,estimand
offline,20,10,async,1250.0,cosine,arrival_to_first_token_ms,60,2,-0.956011616666667,-2.503520766666667,0.5914975333333331,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1250.0,cosine,target_service_ttft_ms,60,2,-0.9436325166666666,-2.4934398,0.6061747666666667,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1250.0,cosine,application_to_first_token_ms,60,2,-8.997396600000013,-15.317098833333368,-2.6776943666666586,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1250.0,cosine,application_with_policy_ms,60,2,-6.601847150000003,-12.997945133333367,-0.20574916666663892,equal-block mean; descriptive if blocks share source records
offline,20,10,async,1250.0,cosine,cycle_including_drain_ms,60,2,-8.96856763333333,-15.296677700000016,-2.640457566666646,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,no_prefetch,arrival_to_first_token_ms,60,2,-34.599585733333335,-36.69848796666667,-32.5006835,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,no_prefetch,target_service_ttft_ms,60,2,-34.59650883333333,-36.690029366666664,-32.5029883,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,no_prefetch,application_to_first_token_ms,60,2,1.578565133333325,-4.176958999999996,7.334089266666646,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,no_prefetch,application_with_policy_ms,60,2,4.3117290999999724,-1.3952729333333689,10.018731133333313,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,no_prefetch,cycle_including_drain_ms,60,2,1.7281311000000072,-4.033996200000002,7.490258400000016,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,cosine,arrival_to_first_token_ms,60,2,-5.806263216666667,-7.398587266666667,-4.213939166666667,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,cosine,target_service_ttft_ms,60,2,-5.79796515,-7.385988333333333,-4.209941966666666,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,cosine,application_to_first_token_ms,60,2,-9.32460785,-11.046055633333337,-7.603160066666661,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,cosine,application_with_policy_ms,60,2,-6.95311441666665,-8.604390699999984,-5.301838133333316,equal-block mean; descriptive if blocks share source records
online,20,10,async,1000.0,cosine,cycle_including_drain_ms,60,2,-9.336667833333339,-11.048903133333337,-7.624432533333342,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,no_prefetch,arrival_to_first_token_ms,60,2,-33.70742423333333,-34.60027219999999,-32.81457626666666,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,no_prefetch,target_service_ttft_ms,60,2,-33.7123239,-34.591260399999996,-32.8333874,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,no_prefetch,application_to_first_token_ms,60,2,7.29203536666663,-9.51499270000004,24.0990634333333,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,no_prefetch,application_with_policy_ms,60,2,9.928251916666659,-6.886671333333349,26.743175166666667,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,no_prefetch,cycle_including_drain_ms,60,2,7.415830499999992,-9.410718966666666,24.24237996666665,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,cosine,arrival_to_first_token_ms,60,2,-2.80109125,-4.473421,-1.128761499999999,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,cosine,target_service_ttft_ms,60,2,-2.7894011666666665,-4.468716133333333,-1.1100861999999994,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,cosine,application_to_first_token_ms,60,2,4.984615999999945,-7.766871233333374,17.736103233333264,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,cosine,application_with_policy_ms,60,2,7.311045516666669,-5.433213766666669,20.055304800000005,equal-block mean; descriptive if blocks share source records
online,20,10,async,1250.0,cosine,cycle_including_drain_ms,60,2,4.98809563333333,-7.780413999999996,17.756605266666657,equal-block mean; descriptive if blocks share source records
