policy,m,k,mode,lead_ms,prediction_hit,arrival_to_first_token_ms,arrival_to_complete_ms,target_service_ttft_ms,application_to_first_token_ms,application_with_policy_ms,cycle_including_drain_ms,post_target_drain_ms,current_request_ms,target_prepared_before_arrival,completed_before_arrival_count,population_completed_count,prefetch_kv_bytes_estimate,N,p95_ttft_ms,foreground_requests_per_second
cosine,20,10,async,1000.0,0.85,62.620040966666664,62.92536978333333,62.48133233333333,1191.4004054833333,1192.0813093,1191.88616635,0.18043204999999998,127.67328843333333,0.85,9.983333333333333,10.0,107438762.66666667,60,86.02660954999999,1.6780125958880336
cosine,20,10,async,1250.0,0.85,58.61095205,58.90022865,58.464178866666664,1433.5460654166668,1434.1938764833333,1434.0056873166666,0.1703453,123.91219923333333,0.85,10.0,10.0,107438762.66666667,60,82.1788546,1.3946946080405236
no_prefetch,20,10,none,1000.0,0.0,91.41336348333333,91.72204743333333,91.27987601666668,1180.4972325,1180.8164657833333,1180.8213674166666,0.015450966666666668,88.90044386666666,0.0,0.0,0.0,0.0,60,148.1975439,1.69373628830539
no_prefetch,20,10,none,1250.0,0.0,89.51728503333334,89.84086518333334,89.38710160000001,1431.23864605,1431.5766700833333,1431.5779524499999,0.01572625,91.51307651666666,0.0,0.0,0.0,0.0,60,148.51743675,1.3970597944577197
offline,20,10,async,1000.0,1.0,59.00096958333334,59.30589801666667,58.87232886666666,1182.4811759833333,1185.5598171666668,1182.9678869166667,0.1817825,122.4285086,1.0,9.983333333333333,10.0,107120503.46666667,60,72.55340324999999,1.6906629690623958
offline,20,10,async,1250.0,1.0,57.65494043333333,57.96106888333334,57.520546350000004,1424.5486688166668,1427.5920293333334,1425.0371196833332,0.18232241666666665,115.7943173,1.0,10.0,10.0,107120503.46666667,60,61.299110999999996,1.4034722130216741
online,20,10,async,1000.0,1.0,56.81377775,57.1070061,56.68336718333333,1182.0757976333334,1185.1281948833334,1182.5494985166665,0.18047253333333335,124.36453756666667,1.0,10.0,10.0,107120503.46666667,60,58.914912,1.6912611290340949
online,20,10,async,1250.0,1.0,55.8098608,56.108917733333335,55.6747777,1438.5306814166665,1441.504922,1438.9937829500002,0.1640446,131.73736171666667,1.0,10.0,10.0,107120503.46666667,60,59.049774299999996,1.3898600700691788
