k,policy,questions,mean_em,mean_f1,mean_support_recall,mean_selection_support_recall_before_budget,target_hit_rate,selection_target_hit_rate_before_budget,mean_reference_context_tokens,mean_provider_input_tokens,mean_provider_output_tokens,mean_api_latency_ms_fresh_calls,fresh_api_calls,response_cache_hits,mean_selected_nodes,mean_fully_delivered_nodes,mean_candidate_universe,online_update_rate
10,adaptive_offline_global,60,0.45,0.5383310328962503,0.6388888888888888,0.6388888888888888,0.6,0.6,414.78333333333336,472.4,8.25,6574.147714236395,55,5,10.983333333333333,10.25,22.85,
10,adaptive_online_warm,60,0.4166666666666667,0.48510378510378516,0.6305555555555554,0.6305555555555554,0.5833333333333334,0.5833333333333334,414.78333333333336,472.35,9.516666666666667,5876.121904872699,55,5,10.983333333333333,10.133333333333333,22.85,0.25
10,cosine,60,0.38333333333333336,0.47940827468771957,0.6361111111111111,0.6583333333333333,0.6166666666666667,0.6333333333333333,414.78333333333336,470.65,10.083333333333334,5662.405560249954,60,0,11.0,9.766666666666667,41.36666666666667,
10,graph_fixed,60,0.43333333333333335,0.5272033522033522,0.6416666666666667,0.6416666666666667,0.6166666666666667,0.6166666666666667,414.78333333333336,472.23333333333335,6.6,5271.402124368363,57,3,10.983333333333333,10.133333333333333,22.85,
