model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,594,structural,92.2506,0.0,0.0,0,1,1,14,270,270,38220595200,38220595200,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,595,multi-hop,46.876,47.8815,97.8397,0,0,0,92,348,348,63493373952,63493373952,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,596,multi-hop,86.6948,96.7068,0.0,0,0,1,91,347,347,63128993792,63128993792,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,597,semantic,66.3784,0.0,54.0976,0,1,0,142,398,398,83049316352,83049316352,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,598,multi-hop,55.7369,59.6987,87.0741,0,0,0,115,371,371,72163524608,72163524608,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,599,multi-hop,49.6872,0.0,0.0,0,1,1,102,358,358,67194847232,67194847232,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,0,structural,74.6876,50.0962,38.5256,0,0,0,102,358,358,67194847232,67194847232,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,1,multi-hop,50.9464,0.0,0.0,0,1,1,119,375,375,73728000000,73728000000,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,2,multi-hop,62.9154,0.0,61.9323,0,1,0,124,380,380,75707187200,75707187200,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,3,semantic,34.2731,0.0,0.0,0,1,1,33,289,289,43789058048,43789058048,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,4,structural,65.2501,0.0,0.0,0,1,1,4,260,260,35441868800,35441868800,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,5,multi-hop,47.7555,0.0,0.0,0,1,1,18,274,274,39361445888,39361445888,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,6,structural,62.3386,82.117,37.575,0,0,0,115,371,371,72163524608,72163524608,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,7,multi-hop,32.5834,27.2912,92.6491,0,0,0,9,265,265,36818124800,36818124800,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,8,multi-hop,85.0653,0.0,0.0,0,1,1,129,385,385,77712588800,77712588800,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,9,structural,45.6679,0.0,0.0,0,1,1,68,324,324,55037657088,55037657088,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,10,multi-hop,70.5542,0.0,0.0,0,1,1,119,375,375,73728000000,73728000000,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,11,semantic,40.2854,0.0,54.2642,0,1,0,88,344,344,62042144768,62042144768,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,12,semantic,66.6951,0.0,64.027,0,1,0,30,286,286,42884661248,42884661248,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,13,semantic,69.474,0.0,0.0,0,1,1,105,361,361,68325736448,68325736448,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,14,multi-hop,65.1493,0.0,0.0,0,1,1,110,366,366,70231523328,70231523328,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,15,structural,79.386,32.7299,67.8627,0,0,0,121,377,377,74516529152,74516529152,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,16,structural,70.301,43.7218,77.2439,0,0,0,18,274,274,39361445888,39361445888,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,17,semantic,65.5979,0.0,0.0,0,1,1,61,317,317,52685176832,52685176832,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,18,semantic,57.8297,0.0,0.0,0,1,1,113,369,369,71387578368,71387578368,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,19,multi-hop,50.2103,61.2289,64.0326,0,0,0,39,295,295,45626163200,45626163200,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,20,multi-hop,73.5526,37.8707,34.6007,0,0,0,78,334,334,58487472128,58487472128,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,21,multi-hop,32.232,0.0,0.0,0,1,1,105,361,361,68325736448,68325736448,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,22,structural,71.0164,37.1242,0.0,0,0,1,127,383,383,76907282432,76907282432,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,23,semantic,77.8597,0.0,0.0,0,1,1,102,358,358,67194847232,67194847232,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,24,semantic,34.0385,0.0,0.0,0,1,1,121,377,377,74516529152,74516529152,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,25,multi-hop,61.5699,0.0,0.0,0,1,1,51,307,307,49413619712,49413619712,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,26,multi-hop,59.5169,0.0,0.0,0,1,1,72,328,328,56405000192,56405000192,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,27,multi-hop,37.7613,33.5726,44.5971,0,0,0,103,359,359,67570761728,67570761728,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,28,semantic,59.8186,0.0,0.0,0,1,1,112,368,368,71001178112,71001178112,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,29,structural,59.1281,0.0,0.0,0,1,1,117,373,373,72943665152,72943665152,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,30,multi-hop,86.0713,0.0,0.0,0,1,1,104,360,360,67947724800,67947724800,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,31,multi-hop,68.8524,0.0,0.0,0,1,1,43,299,299,46871871488,46871871488,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,32,semantic,0.0,71.0452,0.0,1,0,1,23,279,279,40811102208,40811102208,8.615,0.03
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,8,16,33,structural,63.476,86.0998,69.137,0,0,0,84,340,340,60607692800,60607692800,8.615,0.03
