model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,159,structural,47.1136,55.2311,57.145,0,0,0,71,327,291,36790419456,29135683584,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,160,semantic,50.6143,0.0,0.0,0,1,1,17,273,273,25642745856,25642745856,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,161,multi-hop,56.1359,0.0,73.3413,0,1,0,64,320,320,35232153600,35232153600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,162,multi-hop,61.1035,77.4118,79.8836,0,0,0,74,330,330,37468569600,37468569600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,163,multi-hop,61.3259,75.0459,0.0,0,0,1,104,360,360,44590694400,44590694400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,164,semantic,37.4339,0.0,49.9157,0,1,0,18,240,274,19818086400,25830948864,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,165,multi-hop,81.6328,0.0,100.5984,0,1,0,78,334,334,38382403584,38382403584,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,166,multi-hop,64.2201,0.0,75.3,0,1,0,99,355,355,43360665600,43360665600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,167,multi-hop,62.0834,79.8453,74.954,0,0,0,35,291,183,29135683584,11522359296,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,168,semantic,59.9613,0.0,51.8008,0,1,0,21,277,277,26399686656,26399686656,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,169,multi-hop,39.1967,0.0,0.0,0,1,1,117,373,373,47869280256,47869280256,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,170,multi-hop,52.1104,64.3648,70.0943,0,0,0,5,99,228,3372171264,17885822976,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,171,multi-hop,49.6128,0.0,57.7114,0,1,0,91,347,347,41428402176,41428402176,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,172,structural,49.8454,70.6801,71.9361,0,0,0,4,260,260,23258726400,23258726400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,173,multi-hop,51.9071,72.724,70.1829,0,0,0,53,309,309,32851574784,32851574784,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,174,semantic,65.0862,0.0,0.0,0,1,1,104,360,360,44590694400,44590694400,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,175,multi-hop,81.1501,96.1975,101.6833,0,0,0,21,277,277,26399686656,26399686656,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,176,multi-hop,67.4478,0.0,75.8419,0,1,0,113,369,369,46848098304,46848098304,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,177,multi-hop,67.2921,0.0,77.7687,0,1,0,112,368,368,46594523136,46594523136,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,178,structural,70.5354,76.2614,83.7768,0,0,0,100,356,356,43605295104,43605295104,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,179,structural,37.8885,52.9645,43.7112,0,0,0,49,305,305,32006553600,32006553600,8.317,0.107
meta-llama/Llama-3.2-3B-Instruct,Tesla T4,42,HotpotQA,5,16,180,semantic,61.0296,0.0,0.0,0,1,1,92,348,348,41667526656,41667526656,8.317,0.107
