model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,330,structural,105.4778,36.3421,62.3511,0,0,0,90,346,346,62765662208,62765662208,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,331,multi-hop,79.438,0.0,79.5393,0,1,0,25,281,281,41398304768,41398304768,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,332,multi-hop,35.1049,33.6756,36.9112,0,0,0,96,352,352,64961380352,64961380352,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,333,semantic,45.4244,0.0,67.6716,0,1,0,118,374,374,73335308288,73335308288,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,334,semantic,37.075,0.0,42.7663,0,1,0,104,360,360,67947724800,67947724800,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,335,multi-hop,38.41,72.3936,0.0,0,0,1,126,382,382,76506202112,76506202112,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,336,multi-hop,58.1004,0.0,33.7408,0,1,0,95,351,351,64592805888,64592805888,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,337,structural,48.4612,0.0,0.0,0,1,1,24,280,280,41104179200,41104179200,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,338,multi-hop,122.1367,0.0,0.0,0,1,1,60,316,316,52353302528,52353302528,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,339,multi-hop,64.0343,0.0,59.9962,0,1,0,50,306,306,49092231168,49092231168,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,340,semantic,47.1269,0.0,0.0,0,1,1,94,350,350,64225280000,64225280000,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,341,semantic,66.3528,0.0,51.7891,0,1,0,4,260,260,35441868800,35441868800,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,342,multi-hop,0.0,0.0,0.0,1,1,1,24,280,280,41104179200,41104179200,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,343,structural,55.953,0.0,33.9547,0,1,0,111,367,367,70615826432,70615826432,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,344,multi-hop,35.737,30.2346,61.3599,0,0,0,101,357,357,66819981312,66819981312,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,345,semantic,68.035,0.0,0.0,0,1,1,102,358,358,67194847232,67194847232,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,346,semantic,44.4647,0.0,52.9139,0,1,0,18,249,274,32506380288,39361445888,7.697,0.018
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,HotpotQA,4,16,347,structural,30.6454,0.0,0.0,0,1,1,119,375,375,73728000000,73728000000,7.697,0.018
