model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,25,multi-hop,17.9246,0.0,0.0,0,1,1,50,306,306,12273057792,12273057792,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,26,multi-hop,18.4402,0.0,0.0,0,1,1,69,325,321,13844480000,13505789952,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,27,multi-hop,15.0614,22.2368,14.5521,0,0,0,104,360,360,16986931200,16986931200,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,28,semantic,19.8931,0.0,15.8251,0,1,0,114,328,370,14101250048,17943756800,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,29,structural,20.1033,31.4595,17.3989,0,0,0,116,372,302,18138267648,11954290688,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,30,multi-hop,33.675,0.0,23.7522,0,1,0,108,364,364,17366515712,17366515712,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,31,multi-hop,18.3056,0.0,0.0,0,1,1,47,303,303,12033589248,12033589248,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,32,semantic,0.0,0.0,0.0,1,1,1,17,234,223,7176978432,6518079488,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,33,structural,13.6885,14.6761,15.0417,0,0,0,87,318,343,13254524928,15420489728,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,34,structural,41.6716,20.7504,57.3692,0,0,0,140,312,248,12759072768,8061452288,7.461,0.032
meta-llama/Llama-3.2-1B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,3,16,35,semantic,0.0,0.0,0.0,1,1,1,112,368,368,17750294528,17750294528,7.461,0.032
