model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,463,semantic,49.5689,0.0,0.0,0.0,0,1,1,1,73,329,329,329,18620915712,18620915712,18620915712,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,464,multi-hop,57.8995,44.6057,24.8596,0.0,0,0,0,1,47,303,303,303,15794085888,15794085888,15794085888,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,465,semantic,0.0,0.0,0.0,27.855,1,1,1,0,102,358,358,358,22048309248,22048309248,22048309248,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,466,semantic,0.0,0.0,0.0,0.0,1,1,1,1,99,355,355,355,21680332800,21680332800,21680332800,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,467,structural,0.0,50.89,0.0,0.0,1,0,1,1,116,372,372,372,23806476288,23806476288,23806476288,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,468,structural,55.4404,43.1106,39.1815,0.0,0,0,0,1,37,293,293,293,14768775168,14768775168,14768775168,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,469,multi-hop,19.492,43.308,40.8054,0.0,0,0,0,1,91,347,347,347,20714201088,20714201088,20714201088,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,470,multi-hop,58.0517,0.0,28.6998,24.2727,0,1,0,0,135,391,391,391,26300424192,26300424192,26300424192,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,471,structural,41.8182,31.4981,44.7709,0.0,0,0,0,1,63,319,319,319,17506148352,17506148352,17506148352,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,472,multi-hop,45.7056,20.0085,0.0,0.0,0,0,1,1,116,372,372,372,23806476288,23806476288,23806476288,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,473,semantic,23.9311,0.0,0.0,50.9171,0,1,1,0,114,370,370,370,23551180800,23551180800,23551180800,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,474,multi-hop,19.3925,0.0,0.0,19.8644,0,1,1,0,86,342,342,342,20121550848,20121550848,20121550848,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,475,multi-hop,19.72,0.0,0.0,34.6155,0,1,1,0,137,393,393,393,26570170368,26570170368,26570170368,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MultiFieldQA-en,10,16,476,multi-hop,53.6442,18.8178,0.0,0.0,0,0,1,1,61,317,317,317,17287323648,17287323648,17287323648,5.533,0.022,0.9,0.1,0.35,0.65,0.35,0.65
