model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,61,structural,51.4984,52.6374,28.4309,61.3825,0,0,0,0,123,379,379,379,42361454592,42361454592,42361454592,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,62,semantic,36.4035,0.0,30.968,0.0,0,1,0,1,87,343,343,343,34696101888,34696101888,34696101888,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,63,multi-hop,39.7986,39.051,39.3672,0.0,0,0,0,1,6,240,181,262,16986931200,9661612032,20243939328,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,64,multi-hop,30.4729,0.0,0.0,0.0,0,1,1,1,116,372,372,372,40811102208,40811102208,40811102208,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,65,multi-hop,48.7521,39.1841,0.0,0.0,0,0,1,1,114,370,370,370,40373452800,40373452800,40373452800,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,66,multi-hop,39.872,0.0,0.0,0.0,0,1,1,1,105,361,361,361,38433226752,38433226752,38433226752,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,67,semantic,33.0419,0.0,0.0,0.0,0,1,1,1,100,356,356,356,37375967232,37375967232,37375967232,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,68,structural,25.2391,35.8642,47.0396,26.185,0,0,0,0,98,354,354,354,36957192192,36957192192,36957192192,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,69,multi-hop,29.4059,0.0,0.0,29.6571,0,1,1,0,143,399,399,399,46950285312,46950285312,46950285312,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,70,structural,40.6315,0.0,0.0,0.0,0,1,1,1,18,274,274,274,22140813312,22140813312,22140813312,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,71,multi-hop,27.0729,28.053,0.0,0.0,0,0,1,1,35,291,291,291,24973443072,24973443072,24973443072,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,72,semantic,22.8918,0.0,0.0,0.0,0,1,1,1,1,19,19,19,106463232,106463232,106463232,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,73,multi-hop,32.9538,0.0,0.0,0.0,0,1,1,1,117,373,373,373,41030811648,41030811648,41030811648,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,74,multi-hop,49.6605,62.2056,0.0,0.0,0,0,1,1,120,376,376,376,41693478912,41693478912,41693478912,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,75,structural,54.8862,0.0,42.3591,0.0,0,1,0,1,114,370,370,370,40373452800,40373452800,40373452800,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,76,multi-hop,43.2811,0.0,0.0,0.0,0,1,1,1,61,317,317,317,29635411968,29635411968,29635411968,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,77,semantic,59.6873,0.0,47.9865,35.1185,0,1,0,0,19,37,37,37,403734528,403734528,403734528,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,78,semantic,27.3575,0.0,35.6928,0.0,0,1,0,1,40,296,296,296,25839009792,25839009792,25839009792,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-3B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,7,16,79,semantic,38.287,0.0,0.0,0.0,0,1,1,1,83,339,339,339,33891581952,33891581952,33891581952,5.71,0.027,0.9,0.1,0.35,0.65,0.35,0.65
