model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,adaptive_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,adp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,adaptive_n_tokens,flops_saved_cosine,flops_saved_graph,flops_saved_adaptive,embed_time_s,graph_build_time_s,adp_alpha_semantic,adp_beta_semantic,adp_alpha_structural,adp_beta_structural,adp_alpha_multihop,adp_beta_multihop
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,576,structural,17.8862,41.8421,0.0,0.0,0,0,1,1,138,394,394,394,26705559552,26705559552,26705559552,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,577,multi-hop,28.3122,0.0,29.2218,34.3606,0,1,0,0,32,288,288,288,14269022208,14269022208,14269022208,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,578,structural,16.3767,18.5142,28.8924,0.0,0,0,0,1,7,263,263,263,11899281408,11899281408,11899281408,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,579,multi-hop,24.7299,21.5563,0.0,0.0,0,0,1,1,10,266,266,266,12172296192,12172296192,12172296192,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,580,multi-hop,20.0746,0.0,0.0,24.7956,0,1,1,0,65,321,321,321,17726349312,17726349312,17726349312,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,581,semantic,35.7446,0.0,18.1704,28.9603,0,1,0,0,136,392,392,392,26435125248,26435125248,26435125248,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,582,semantic,28.9885,0.0,0.0,0.0,0,1,1,1,14,270,270,270,12541132800,12541132800,12541132800,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,583,multi-hop,22.9435,31.8424,0.0,0.0,0,0,1,1,124,380,380,380,24841420800,24841420800,24841420800,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,584,multi-hop,23.1147,21.6997,28.9147,0.0,0,0,0,1,95,351,351,351,21194514432,21194514432,21194514432,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,585,multi-hop,40.2747,17.5027,40.889,0.0,0,0,0,1,102,358,358,358,22048309248,22048309248,22048309248,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,586,semantic,27.7979,0.0,0.0,0.0,0,1,1,1,89,345,345,345,20476108800,20476108800,20476108800,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,587,semantic,28.6765,0.0,0.0,0.0,0,1,1,1,39,295,295,295,14971084800,14971084800,14971084800,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,588,multi-hop,45.3817,46.2973,29.2668,40.8886,0,0,0,0,105,361,361,361,22419382272,22419382272,22419382272,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,589,semantic,35.7732,0.0,20.5543,39.6737,0,1,0,0,116,372,372,372,23806476288,23806476288,23806476288,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,590,structural,49.583,0.0,0.0,0.0,0,1,1,1,76,332,332,332,18962055168,18962055168,18962055168,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
Qwen/Qwen2.5-1.5B-Instruct,NVIDIA GeForce RTX 5060 Ti,42,MuSiQue,6,16,591,semantic,45.5886,0.0,0.0,0.0,0,1,1,1,2,178,191,123,5450661888,6275899392,2602672128,5.323,0.019,0.9,0.1,0.35,0.65,0.35,0.65
