source_file,k,policy,questions,mean_em,mean_f1
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,cosine,200,0.025,0.05618600000000001
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,200,0.01,0.032262
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,200,0.01,0.040211500000000004
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,cosine,200,0.005,0.025839499999999998
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,200,0.0,0.020166499999999997
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,200,0.0,0.016446500000000003
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,cosine,200,0.005,0.025721499999999998
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,200,0.0,0.020166499999999997
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,adaptive,200,0.005,0.0188515
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,cosine,200,0.085,0.152662
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,graph,200,0.085,0.15482449999999998
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,3,adaptive,200,0.085,0.158113
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,cosine,200,0.095,0.17351499999999997
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,graph,200,0.08,0.1569465
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,4,adaptive,200,0.1,0.17456600000000003
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,cosine,200,0.11,0.1865345
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,200,0.075,0.14762699999999998
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,200,0.09,0.1662245
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,cosine,200,0.12,0.2012895
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,200,0.08,0.1666705
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,200,0.1,0.176226
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,cosine,200,0.13,0.20634700000000003
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,200,0.09,0.15982149999999998
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,200,0.095,0.181937
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,cosine,200,0.045,0.0925
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,200,0.045,0.0909615
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,200,0.07,0.1390865
qa_quality_Qwen_Qwen2.5_1.5B_Instruct_hotpot_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,cosine,200,0.005,0.032305
