source_file,k,policy,baseline,metric,questions,mean_delta,ci_low,ci_high
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,em,200,-0.005,-0.035,0.025
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,graph,cosine,f1,200,0.002112999999999998,-0.026285637499999997,0.030588349999999976
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,em,200,-0.035,-0.075,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,5,adaptive,cosine,f1,200,-0.019537,-0.06082060000000001,0.0193940875
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,cosine,em,200,-0.025,-0.065,0.015
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,graph,cosine,f1,200,-0.013541499999999998,-0.051540962499999995,0.024607012499999973
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,cosine,em,200,-0.06,-0.105,-0.015
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,6,adaptive,cosine,f1,200,-0.051891,-0.097584825,-0.00823580000000001
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,cosine,em,200,-0.02,-0.06,0.02
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,graph,cosine,f1,200,-0.0096645,-0.04886177499999999,0.029915462499999948
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,cosine,em,200,-0.04,-0.085,0.005
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,8,adaptive,cosine,f1,200,-0.0418445,-0.0892388,0.004998212499999996
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,cosine,em,200,0.0,-0.03,0.03
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,graph,cosine,f1,200,-0.0024469999999999982,-0.03441517499999999,0.029664624999999997
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,cosine,em,200,0.015,-0.025,0.055
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,10,adaptive,cosine,f1,200,0.005774499999999998,-0.0397659625,0.0507146
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,cosine,em,200,-0.015,-0.04,0.005
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,graph,cosine,f1,200,-0.023923999999999997,-0.047961612499999993,-0.0023979625000000076
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,cosine,em,200,-0.015,-0.04,0.005
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,12,adaptive,cosine,f1,200,-0.0159745,-0.043109325000000004,0.009876524999999999
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,cosine,em,200,-0.005,-0.015,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,graph,cosine,f1,200,-0.005673000000000001,-0.019637050000000003,0.0053090874999999985
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,cosine,em,200,-0.005,-0.015,0.0
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,14,adaptive,cosine,f1,200,-0.009393000000000002,-0.024331524999999996,0.0032207874999999973
qa_quality_meta_llama_Llama_3.2_1B_Instruct_musique_K3-4-5-6-8-10-12-14-16_topm20_n200_seed42.csv,16,graph,cosine,em,200,-0.005,-0.015,0.0
