model_name,gpu_name,seed,dataset,config_k,config_cap,run,type,cold_ms,cosine_ms,graph_ms,lru_sim_hit,cos_sim_hit,grp_sim_hit,cold_n_tokens,cosine_n_tokens,graph_n_tokens,flops_saved_cosine,flops_saved_graph,embed_time_s,graph_build_time_s
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,206,multi-hop,62.0213,0.0,0.0,0,1,1,113,369,369,71387578368,71387578368,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,207,multi-hop,44.6922,0.0,0.0,0,1,1,2,51,53,1363673088,1472724992,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,208,semantic,35.133,0.0,0.0,0,1,1,114,370,370,71775027200,71775027200,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,209,semantic,0.0,0.0,0.0,1,1,1,78,334,334,58487472128,58487472128,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,210,multi-hop,40.9149,0.0,0.0,0,1,1,101,357,357,66819981312,66819981312,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,211,multi-hop,52.2906,0.0,0.0,0,1,1,85,341,341,60964732928,60964732928,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,212,semantic,46.2752,0.0,0.0,0,1,1,95,351,351,64592805888,64592805888,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,213,structural,46.638,55.6177,39.9434,0,0,0,63,319,319,53352071168,53352071168,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,214,multi-hop,42.2707,0.0,0.0,0,1,1,16,272,272,38788923392,38788923392,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,215,multi-hop,37.9968,58.6077,31.2994,0,0,0,35,291,291,44397232128,44397232128,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,216,multi-hop,38.314,0.0,0.0,0,1,1,23,279,279,40811102208,40811102208,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,217,semantic,45.5283,0.0,0.0,0,1,1,70,326,326,55719231488,55719231488,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,218,semantic,37.6745,0.0,0.0,0,1,1,133,389,389,79335784448,79335784448,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,219,structural,56.6169,49.1029,0.0,0,0,1,52,308,308,49736056832,49736056832,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,220,multi-hop,46.922,0.0,0.0,0,1,1,17,273,273,39074660352,39074660352,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,221,semantic,48.9104,0.0,0.0,0,1,1,101,357,357,66819981312,66819981312,7.372,0.024
google/gemma-3-1b-it,NVIDIA GeForce RTX 5060 Ti,42,2WikiMultiHopQA,14,16,222,structural,84.0279,109.4732,65.7126,0,0,0,100,356,356,66446163968,66446163968,7.372,0.024
