policy,m,k,mode,lead_ms,prediction_hit,arrival_to_first_token_ms,arrival_to_complete_ms,target_service_ttft_ms,application_to_first_token_ms,application_with_policy_ms,cycle_including_drain_ms,post_target_drain_ms,current_request_ms,target_prepared_before_arrival,completed_before_arrival_count,population_completed_count,prefetch_kv_bytes_estimate,N,p95_ttft_ms,foreground_requests_per_second
no_prefetch,20,10,none,750.0,0.0,79.09287167166667,79.42611308333333,78.95159396833333,914.71916116,915.0648509016664,915.0674219883334,0.0150194166666666,85.41595482333332,0.0,0.0,0.0,0.0,600,90.1336705,2.185631300974781
cosine,20,10,async,750.0,0.8166666666666667,98.14374521166668,98.45305650666668,97.99339040833334,974.9419021033332,976.3929870216668,975.633462145,0.3822487466666666,125.54283832666668,0.7966666666666666,8.445,9.281666666666666,100117749.76,600,153.24674494999988,2.049950188878164
semantic_only,20,10,async,750.0,0.8166666666666667,100.95958905,101.27420388166666,100.81318675333333,990.325697185,991.0260134516666,990.8261820233332,0.1858700066666666,138.042154925,0.795,8.54,9.383333333333333,101163752.10666668,600,160.30717445,2.018517512240004
structure,20,10,async,750.0,0.87,97.38186125333334,97.69306939333332,97.23580039,986.0666231883332,986.76310374,986.559853985,0.1820226566666666,137.451427485,0.8616666666666667,8.568333333333333,9.388333333333334,101337982.29333334,600,150.54353989999998,2.027246488818112
two_hop,20,10,async,750.0,0.8783333333333333,98.929515645,99.24738466666668,98.78069697,987.9916997183334,991.6904720166668,988.4959844033332,0.1864156633333333,137.75009589833334,0.8483333333333334,8.566666666666666,9.381666666666666,101195386.88,600,151.54375864999997,2.0232757963171912
offline,20,10,async,750.0,0.9433333333333334,94.06869636,94.37570417,93.92135512,979.9711233333334,983.5092117233334,980.4611110016668,0.1829798583333333,134.655812985,0.89,8.543333333333333,9.356666666666667,101151279.78666666,600,145.8436836,2.0398565303184166
online,20,10,async,750.0,0.9383333333333334,92.08127555166666,92.38921941666666,91.93883422166668,980.9533227683334,984.506135775,981.4375341466668,0.1762675133333333,137.62831704666667,0.885,8.67,9.45,102103811.41333333,600,144.2617959,2.037827095882313
